rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.585658574104309,7.216137728,1.5576941967010498,4.747860980375087
16,32,3686400,4.113287695248922,6.617750016,1.5160831212997437,4.55435137131404
64,128,14745600,3.5744754830996195,7.998511616,1.476814866065979,4.378975820309134
